archive_name,image_path,prefix,weather,density,time,visibility,agent_id,frame_id,camera_id
rcnj_cn_s,/Users/tjards/Library/CloudStorage/Dropbox/adjunctQueens/code/pytorch_project_advercity/data/sampled/rcnj_cn_s/-1/000242_camera2.png,rcnj,cn,s,night,clear,-1,000242,camera2
rcnj_cn_s,/Users/tjards/Library/CloudStorage/Dropbox/adjunctQueens/code/pytorch_project_advercity/data/sampled/rcnj_cn_s/-1/000188_camera3.png,rcnj,cn,s,night,clear,-1,000188,camera3
rcnj_cn_s,/Users/tjards/Library/CloudStorage/Dropbox/adjunctQueens/code/pytorch_project_advercity/data/sampled/rcnj_cn_s/-1/000232_camera2.png,rcnj,cn,s,night,clear,-1,000232,camera2
rcnj_cn_s,/Users/tjards/Library/CloudStorage/Dropbox/adjunctQueens/code/pytorch_project_advercity/data/sampled/rcnj_cn_s/-1/000147_camera2.png,rcnj,cn,s,night,clear,-1,000147,camera2
rcnj_cn_s,/Users/tjards/Library/CloudStorage/Dropbox/adjunctQueens/code/pytorch_project_advercity/data/sampled/rcnj_cn_s/-1/000137_camera2.png,rcnj,cn,s,night,clear,-1,000137,camera2
rcnj_cn_s,/Users/tjards/Library/CloudStorage/Dropbox/adjunctQueens/code/pytorch_project_advercity/data/sampled/rcnj_cn_s/-1/000215_camera0.png,rcnj,cn,s,night,clear,-1,000215,camera0
rcnj_cn_s,/Users/tjards/Library/CloudStorage/Dropbox/adjunctQueens/code/pytorch_project_advercity/data/sampled/rcnj_cn_s/-1/000181_camera1.png,rcnj,cn,s,night,clear,-1,000181,camera1
rcnj_cn_s,/Users/tjards/Library/CloudStorage/Dropbox/adjunctQueens/code/pytorch_project_advercity/data/sampled/rcnj_cn_s/-1/000067_camera2.png,rcnj,cn,s,night,clear,-1,000067,camera2
rcnj_cn_s,/Users/tjards/Library/CloudStorage/Dropbox/adjunctQueens/code/pytorch_project_advercity/data/sampled/rcnj_cn_s/-1/000160_camera0.png,rcnj,cn,s,night,clear,-1,000160,camera0
rcnj_cn_s,/Users/tjards/Library/CloudStorage/Dropbox/adjunctQueens/code/pytorch_project_advercity/data/sampled/rcnj_cn_s/-1/000110_camera0.png,rcnj,cn,s,night,clear,-1,000110,camera0
rcnj_cn_s,/Users/tjards/Library/CloudStorage/Dropbox/adjunctQueens/code/pytorch_project_advercity/data/sampled/rcnj_cn_s/-1/000093_camera3.png,rcnj,cn,s,night,clear,-1,000093,camera3
rcnj_cn_s,/Users/tjards/Library/CloudStorage/Dropbox/adjunctQueens/code/pytorch_project_advercity/data/sampled/rcnj_cn_s/-1/000175_camera0.png,rcnj,cn,s,night,clear,-1,000175,camera0
rcnj_cn_s,/Users/tjards/Library/CloudStorage/Dropbox/adjunctQueens/code/pytorch_project_advercity/data/sampled/rcnj_cn_s/-1/000072_camera2.png,rcnj,cn,s,night,clear,-1,000072,camera2
